"Title","Link","AddressLine1","AddressLine2","City","State","Zip","Region"
"West Henrietta Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/west-henrietta-blood-donation-center","825 John Street","","West Henrietta","NY","14586","nyp"
"Asheville Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/asheville-blood-donation-center","100 Edgewood Road","","Asheville","NC","28804","carolinas"
"Cary Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/cary-blood-donation-center","3700 Regency Parkway Suite 150","","Cary","NC","27518","carolinas"
"Charlotte Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/charlotte-blood-donation-center","2425 Park Road","","Charlotte","NC","28203","carolinas"
"Durham Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/durham-blood-donation-center","4737 University Drive, #3","","Durham","NC","27707","carolinas"
"Huntersville Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/huntersville-blood-donation-center","9800 W. Kincey Ave","Ste. 110 ","Huntersville","NC","28078","carolinas"
"Johnson City Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/johnson-city-blood-donation-center","818 Sunset Drive, #100","","Johnson City","TN","37604","carolinas"
"North Raleigh Blood Donation Center ","http://www.redcrossblood.org/donation-centers//locations/north-raleigh-blood-donation-center","8301 Bandford Way","","Raleigh","NC","27613","carolinas"
"Nussbaum Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/nussbaum-blood-donation-center","1501 Yanceyville Street","","Greensboro","NC","27405","carolinas"
"Raleigh Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/raleigh-blood-donation-center","100 N. Peartree Lane","","Raleigh","NC","27610","carolinas"
"Wilmington Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/wilmington-blood-donation-center","1102 South 16th Street","","Wilmington","NC","28401","carolinas"
"Winston Salem Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/winston-salem-blood-donation-center","650 Coliseum Drive","","Winston-Salem","NC","27106","carolinas"
"Beckley Donor Center (West Virginia)","http://www.redcrossblood.org/donation-centers//locations/beckley-donor-center-west-virginia","200 Industrial Drive","","Beckley","WV","25801","midatlantic"
