"Title","Link","AddressLine1","AddressLine2","City","State","Zip","Region"
"Streator Chapter Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/streator-chapter-blood-donation-center","204 S. Bloomington","","Streator","IL","61364","heartofamerica"
"Flint Donor Center","http://www.redcrossblood.org/donation-centers//locations/flint-donor-center","1401 South Grand Traverse","","Flint","MI","48503","greatlakes"
"Lansing Donor Center","http://www.redcrossblood.org/donation-centers//locations/lansing-donor-center","1729 East Saginaw Street","","Lansing","MI","48912","greatlakes"
"Muskegon Donor Center","http://www.redcrossblood.org/donation-centers//locations/muskegon-donor-center","313 West Webster Ave","","Muskegon","MI","49440","greatlakes"
"Petoskey American Red Cross","http://www.redcrossblood.org/donation-centers//locations/petoskey-american-red-cross","2350 Mitchell Park Dr.","","Petoskey","MI","49770","greatlakes"
"Cape Girardeau Center","http://www.redcrossblood.org/donation-centers//locations/cape-girardeau-center-0","20 S. Mount Auburn Road","","Cape Girardeau","MO","63703","missouri-illinois"
"Columbia Center","http://www.redcrossblood.org/donation-centers//locations/columbia-center","1511 S. Providence Road","","Columbia","MO","65203","missouri-illinois"
"Effingham Center","http://www.redcrossblood.org/donation-centers//locations/effingham-center","603 Eden Avenue","","Effingham","IL","62401","missouri-illinois"
"Fairview Heights Center","http://www.redcrossblood.org/donation-centers//locations/fairview-heights-center","10886 Lincoln Trail","","Fairview Heights","IL","62208","missouri-illinois"
"Jefferson City Center","http://www.redcrossblood.org/donation-centers//locations/jefferson-city-center","3230 Emerald Lane","","Jefferson City","MO","65109","missouri-illinois"
"Krakow Center","http://www.redcrossblood.org/donation-centers//locations/krakow-center","3021 Highway A","Suite 102","Washington","MO","63090","missouri-illinois"
"Lindell Center","http://www.redcrossblood.org/donation-centers//locations/lindell-center","4050 Lindell Boulevard","","Saint Louis","MO","63108","missouri-illinois"
"North County Center","http://www.redcrossblood.org/donation-centers//locations/north-county-center","3533 Dunn Road","","Florissant","MO","63033","missouri-illinois"
"South County Center","http://www.redcrossblood.org/donation-centers//locations/south-county-center","9230 Watson Road","","Crestwood","MO","63126","missouri-illinois"
"St. Charles County Center","http://www.redcrossblood.org/donation-centers//locations/st-charles-county-center","252 Mid Rivers Center","","St. Peters","MO","63376","missouri-illinois"
"West County Center","http://www.redcrossblood.org/donation-centers//locations/west-county-center","13369 Olive Boulevard","","Chesterfield","MO","63017","missouri-illinois"
"Ann Arbor Donor Center","http://www.redcrossblood.org/donation-centers//locations/ann-arbor-donor-center","4624 Packard Road","","Ann Arbor","MI","48108","southeasternmichigan"
"Berkley Donor Center","http://www.redcrossblood.org/donation-centers//locations/berkley-donor-center","28105 Woodward Ave","","Berkley","MI","48072","southeasternmichigan"
"Bloomfield Donor Center","http://www.redcrossblood.org/donation-centers//locations/bloomfield-donor-center","4190 S. Telegraph Rd.*","","Bloomfield ","MI","48302","southeasternmichigan"
"Detroit Donor Center Downtown","http://www.redcrossblood.org/donation-centers//locations/detroit-donor-center-downtown","100 Mack Ave","","Detroit","MI","48201","southeasternmichigan"
"Farmington Hills Donor Center","http://www.redcrossblood.org/donation-centers//locations/farmington-hills-donor-center","31150 Haggerty Rd","","Farmington Hills","MI","48331","southeasternmichigan"
"Livonia Donor Center","http://www.redcrossblood.org/donation-centers//locations/livonia-donor-center","36650 Five Mile Road","","Livonia","MI","48154","southeasternmichigan"
"Port Huron Donor Center","http://www.redcrossblood.org/donation-centers//locations/port-huron-donor-center","615 Pine Street","","Port Huron","MI","48060","southeasternmichigan"
"Riverview Donor Center","http://www.redcrossblood.org/donation-centers//locations/riverview-donor-center","14031 Pennsylvania","","Riverview","MI","48193","southeasternmichigan"
"South Macomb Donor Center","http://www.redcrossblood.org/donation-centers//locations/south-macomb-donor-center","13260 E. 11 Mile Road","","Warren","MI","48089","southeasternmichigan"
"Jonesboro Center","http://www.redcrossblood.org/donation-centers//locations/jonesboro-center","1904 Grant Street, Suite A","","Jonesboro","AR","72401","greaterozarks"
"Little Rock Center","http://www.redcrossblood.org/donation-centers//locations/little-rock-center","401 South Monroe","","Little Rock","AR","72205","greaterozarks"
"Mountain Home Center","http://www.redcrossblood.org/donation-centers//locations/mountain-home-center","1041 Highland Circle, Ste 22","","Mountain Home","AR","72653","greaterozarks"
"North Little Rock Center","http://www.redcrossblood.org/donation-centers//locations/north-little-rock-center","4548 John F. Kennedy Blvd. Suite 6","","North Little Rock","AR","72116","greaterozarks"
"Pine Bluff Center","http://www.redcrossblood.org/donation-centers//locations/pine-bluff-center","1602 West 42nd Street","","Pine Bluff","AR","71603","greaterozarks"
"Russellville Center","http://www.redcrossblood.org/donation-centers//locations/russellville-center","1003 West Main","","Russellville","AR","72801","greaterozarks"
"Searcy Donor Center","http://www.redcrossblood.org/donation-centers//locations/searcy-donor-center","1120 S. Main St.","","Searcy","AR","72143","greaterozarks"
"Springfield Center","http://www.redcrossblood.org/donation-centers//locations/springfield-center","313 East Battlefield, Suite B","","Springfield","MO","65807","greaterozarks"
"Toledo Blood Donor Center","http://www.redcrossblood.org/donation-centers//locations/toledo-blood-donor-center","3510 Executive Pkwy","","Toledo","OH","43606","westernlakeerie"
"Bloomington Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/bloomington-blood-donation-center","1600 West Third Street","","Bloomington","IN","47404","rivervalley"
"Columbus Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/columbus-blood-donation-center","931 Repp Drive","","Columbus","IN","47201","rivervalley"
"Elizabethtown Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/elizabethtown-blood-donation-center","405 W. Dixie Hwy","","Elizabethtown","KY","42701","rivervalley"
"Evansville - Locust Creek Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/evansville-locust-creek-blood-donation-center","2546 Locust Creek Dr.","","Evansville","IN","47720","rivervalley"
"Evansville - Stockwell Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/evansville-stockwell-blood-donation-center","29 South Stockwell Road","","Evansville","IN","47714","rivervalley"
"Jefferson Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/jefferson-blood-donation-center","1805 E. 8th Street","","Jeffersonville","IN","47130","rivervalley"
"Louisville - Chestnut Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/louisville-chestnut-blood-donation-center","520 East Chestnut Street","","Louisville","KY","40202","rivervalley"
"Louisville - Hubbards Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/louisville-hubbards-blood-donation-center","291 N. Hubbards Lane","","Louisville","KY","40207","rivervalley"
"Caldwell Trace Donor Center","http://www.redcrossblood.org/donation-centers//locations/caldwell-trace-donor-center","700 Caldwell Trace","","Birmingham","AL","35242","alabama"
"Josephson Donor Center","http://www.redcrossblood.org/donation-centers//locations/josephson-donor-center","3446 Demetropolis Road","","Mobile","AL","36693","alabama"
"Madison Co. Chapter","http://www.redcrossblood.org/donation-centers//locations/madison-co-chapter","1101 Washington Street","","Huntsville","AL","35801","alabama"
"Montgomery Donor Center","http://www.redcrossblood.org/donation-centers//locations/montgomery-donor-center","5015 Wood's Crossing","","Montgomery","AL","36104","alabama"
"UAB Hospital Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/uab-hospital-blood-donation-center","1802 6th Avenue South - North Pavilion 2390","","Birmingham","AL","35233","alabama"
"Bowling Green Blood Donor Site","http://www.redcrossblood.org/donation-centers//BowlingGreen","1021 Wilkinson Trace","","Bowling Green","KY","42101","tennesseevalley"
"Clarksville-Montgomery County Chapter","http://www.redcrossblood.org/donation-centers//locations/clarksville-montgomery-county-chapter","1760 Madison Street","","Clarksville","TN","37043","tennesseevalley"
"Crossville","http://www.redcrossblood.org/donation-centers//locations/crossville","11 East First Street","","Crossville","TN","38555","tennesseevalley"
"Murfreesboro","http://www.redcrossblood.org/donation-centers//locations/murfreesboro","501 Memorial Blvd.","","Murfreesboro","TN","37129","tennesseevalley"
"Nashville Center","http://www.redcrossblood.org/donation-centers//NashvilleCenter","2201 Charlotte Avenue","","Nashville","TN","37203","tennesseevalley"
"Paducah","http://www.redcrossblood.org/donation-centers//locations/paducah","4635 Falconcrest Drive","","Paducah","KY","42001","tennesseevalley"
"American Red Cross Fort Wayne Donor Center","http://www.redcrossblood.org/donation-centers//locations/american-red-cross-fort-wayne-donor-center","1212 E. California Road","","Fort Wayne","IN","46825","indianaohio"
"American Red Cross Goshen Blood Donor Center - Indiana","http://www.redcrossblood.org/donation-centers//locations/american-red-cross-goshen-blood-donor-center-indiana","1123 S. Indiana Ave.","","Goshen","IN","46526","indianaohio"
"American Red Cross Lutheran Hospital Donor Center","http://www.redcrossblood.org/donation-centers//locations/american-red-cross-lutheran-hospital-donor-center","7900 W. Jefferson Blvd. Suite 107","","Fort Wayne","IN","46804","indianaohio"
"American Red Cross Merrillville Donor Center","http://www.redcrossblood.org/donation-centers//locations/american-red-cross-merrillville-donor-center","791 E. 83rd Ave.","","Merrillville","IN","46410","indianaohio"
"Avon Donor Center - Avon, OH","http://www.redcrossblood.org/donation-centers//locations/avon-donor-center","2100 Center Road","","Avon","OH","44011","northernohio"
"Parma Donor Center - Parma, OH","http://www.redcrossblood.org/donation-centers//locations/parma-donor-center","5585 Pearl Road","","Parma","OH","44129","northernohio"
"Summit Donor Center - Akron, OH","http://www.redcrossblood.org/donation-centers//locations/summit-donor-center","501 West Market Street","","Akron","OH","44303","northernohio"
"Warzel Downtown Donor Center - Cleveland, OH","http://www.redcrossblood.org/donation-centers//locations/warzel-downtown-donor-center-cleveland-oh","3636  Euclid Avenue","","Cleveland","OH","44115","northernohio"
"Carriage Place Donor Center","http://www.redcrossblood.org/donation-centers//locations/carriage-place-donor-center","4820 Sawmill Road","","Columbus","OH","43235","centralohio"
"Licking Donor Center","http://www.redcrossblood.org/donation-centers//locations/licking-donor-center","1272 West Main Street, Doctor's Park Bldg. 5","","Newark","OH","43055","centralohio"
"Nationwide Donor Center","http://www.redcrossblood.org/donation-centers//locations/nationwide-donor-center","One Nationwide Plaza","","Columbus","OH","43215","centralohio"
"Polaris Donor Center","http://www.redcrossblood.org/donation-centers//locations/polaris-donor-center","1327 Cameron Ave.","","Lewis Center","OH","43035","centralohio"
"Richland Donor Center","http://www.redcrossblood.org/donation-centers//locations/richland-donor-center","39 North Park Street","","Mansfield","OH","44902","centralohio"
"Stoneridge Donor Center","http://www.redcrossblood.org/donation-centers//locations/stoneridge-donor-center","337 Stoneridge Ln","","Gahanna","OH","43230","centralohio"
"Westbelt Donor Center","http://www.redcrossblood.org/donation-centers//locations/westbelt-donor-center","4327 Equity Drive","","Columbus","OH","43228","centralohio"
"Altoona Donor Center","http://www.redcrossblood.org/donation-centers//locations/altoona-donor-center","415 Orchard Avenue - Suite K","","Altoona","PA","16601","greateralleghenies"
"Ashland Donor Center","http://www.redcrossblood.org/donation-centers//locations/ashland-donor-center","King's Daughters Medical Center Outpatient Services Center","480 23rd Street and Carter Avenue","Ashland","KY","41101","greateralleghenies"
"Beaver Donor Center","http://www.redcrossblood.org/donation-centers//locations/beaver-donor-center","133 Friendship Circle","","Beaver","PA","15009","greateralleghenies"
"Clearfield Donor Cener","http://www.redcrossblood.org/donation-centers//locations/clearfield-donor-cener","440 Front Place","","Clearfield","PA","16830","greateralleghenies"
"Cumberland Donor Center","http://www.redcrossblood.org/donation-centers//locations/cumberland-donor-center","400 Cumberland Street","","Cumberland","MD","21502","greateralleghenies"
"Greensburg Donor Center","http://www.redcrossblood.org/donation-centers//locations/greensburg-donor-center","351 Harvey Avenue","","Greensburg","PA","15601","greateralleghenies"
"Hagerstown Donor Center","http://www.redcrossblood.org/donation-centers//locations/hagerstown-donor-center","1131 Conrad Court","Washington County Chapter, American Red Cross","Hagerstown","MD","21740","greateralleghenies"
"Hermitage Donor Center","http://www.redcrossblood.org/donation-centers//locations/hermitage-donor-center","3225 Moorefield Road","Trinity Lutheran Church","Hermitage","PA","16148","greateralleghenies"
"Huntington Donor Center","http://www.redcrossblood.org/donation-centers//locations/huntington-donor-center","1111 Veterans Memorial Blvd","","Huntington","WV","25701","greateralleghenies"
"Johnstown Donor Center","http://www.redcrossblood.org/donation-centers//locations/johnstown-donor-center","250 Jari Drive","John P. Murtha Donor Pavilion","Johnstown","PA","15904","greateralleghenies"
"Morgantown Donor Center","http://www.redcrossblood.org/donation-centers//locations/red-cross-donor-center-morgantown","1223-10 Pineview Drive Rear","","Morgantown","WV","26505","greateralleghenies"
"New Castle Donor Center","http://www.redcrossblood.org/donation-centers//locations/new-castle-donor-center","125 North Jefferson Street","","New Castle","PA","16101","greateralleghenies"
"Parkersburg Donor Center","http://www.redcrossblood.org/donation-centers//locations/parkersburg-donor-center","3210 Dudley Ave.","","Parkersburg","WV","26101","greateralleghenies"
"State College Donor Center","http://www.redcrossblood.org/donation-centers//locations/state-college-donor-center","135 S. Pugh St.","","State College","PA","16801","greateralleghenies"
"Wheeling Donor Center","http://www.redcrossblood.org/donation-centers//locations/wheeling-donor-center","Ohio Valley Medical Center, 2000 Eoff Street","","Wheeling ","WV","26003","greateralleghenies"
"Winchester Donor Center","http://www.redcrossblood.org/donation-centers//locations/winchester-donor-center","561 Fortress Drive","","Winchester","VA","22603","greateralleghenies"
"Wintersville Donor Center","http://www.redcrossblood.org/donation-centers//locations/wintersville-donor-center","Jefferson County Chapter, American Red Cross","81 Talbott Drive","Wintersville","OH","43953","greateralleghenies"
"Alice Peck Day Memorial Hospital Regularly Scheduled Mobile","http://www.redcrossblood.org/donation-centers//locations/alice-peck-day-memorial-hospital-regularly-scheduled-mobile","10 Alice Peck Day Drive","","Lebanon","NH","03766","nne"
"Bangor Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/bangor-blood-donation-center","900 B Hammond Street","","Bangor","ME","04401","nne"
"Burlington Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/burlington-blood-donation-center","32 North Prospect Street","","Burlington","VT","05401","nne"
"Central Maine Medical Center Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/red-cross-donor-center-central-maine-medical-center-300-main-street-lewiston-me-04240","300 Main Street","","Lewiston","ME","04240","nne"
"Manchester Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/manchester-blood-donation-center","425 Reservoir Ave","","Manchester","NH","03104","nne"
"Portland Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/portland-blood-donation-center","524 Forest Ave","Please use entrance on Ashmont Street","Portland","ME","04101","nne"
"Scranton Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/scranton-blood-donation-center","3 West Olive Street","","Scranton","PA","18508","nepa"
"Wilkes-Barre Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/wilkes-barre-blood-donation-center","29 New Commerce Blvd","","Ashley","PA","18706","nepa"
"Boston Donation Center","http://www.redcrossblood.org/donation-centers//locations/boston-donation-center","274 Tremont Street","","Boston","MA","02116","ma"
"Braintree Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/braintree-blood-donation-center","170 Forbes Road","","Braintree","MA","02184","ma"
